name;company;technology;job;location;salary
Data Analyst (Engineer) (mid/senior);Revolut Ltd;['Python', 'SQL', 'Java', 'Scala'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Quantitative Research Analyst;Chorus One;['Analyst', 'Python', 'SQL', 'Ethereum'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 29995, 'high': 36661, 'currency': 'PLN'}
Senior Data Analyst;Avenga;['Data analysis', 'ETL', 'Business analysis', 'System analysis'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 21840, 'high': 25200, 'currency': 'PLN'}
Data Analyst;GOG;['Analyst', 'SQL', 'Analyzing data', 'Data visualization'];data analyst;{'city': 'Warsaw', 'country': 'N/A'};{'low': 14000, 'high': 21000, 'currency': 'PLN'}
Analytics Engineer;VOLT.io Open Banking Payments;['Analyst', 'Python', 'Data science', 'Data modeling'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Data Scientist;SquareOne;['Data', 'Snowflake', 'SQL', 'Git'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 23520, 'high': 30240, 'currency': 'PLN'}
Remote Senior Data Scientist;Link Group;['Data', 'SQL', 'Python', 'R'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 23520, 'high': 28560, 'currency': 'PLN'}
Data Engineer;VirtusLab;['Data', 'Python', 'SQL', 'Data modeling'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 26000, 'high': 31000, 'currency': 'PLN'}
ETL/ Data Engineer;Sofomo;['Data', 'SQL', 'ETL', 'Power BI'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 11000, 'high': 15000, 'currency': 'PLN'}
Remote Data Engineer (Spark);Varwise;['Data', 'Scala', 'Spark', 'AWS'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 6700, 'high': 9200, 'currency': 'USD'}
Programista DWH;apreel Sp. z o.o.;['Data', 'PL/SQL', 'Python', 'ETL'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 23520, 'high': 30240, 'currency': 'PLN'}
Big Data Developer;emagine Sp. Z o.o.;['Data', 'Python', 'Big data', 'Hadoop'];data analyst;{'city': 'Warsaw', 'country': 'N/A'};{'low': 18480, 'high': 23520, 'currency': 'PLN'}
Junior Data Engineer;Cpl Poland;['Data', 'SQL', 'Teradata', 'PostgreSQL'];data engineer;{'city': 'Warsaw', 'country': 'N/A'};{'low': 13440, 'high': 18480, 'currency': 'PLN'}
Analityk Biznesowy Systemów Logistycznych WMS;Inter Cars S.A.;['Data', 'SQL', 'BPMN', 'Polish'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Analytics Engineer;Booksy International;['Data', 'SQL', 'OLAP', 'Data Warehouse design patterns'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 14500, 'high': 19000, 'currency': 'PLN'}
Młodszy Analityk Ubezpieczeniowy;TUZ Ubezpieczenia;['Data', 'SQL', 'MS Office', 'CI'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Data Engineer;STX Next;['Data', 'Python', 'Java', 'Scala'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Data Engineer;Mindbox S.A.;['Data', 'Python', 'Data modeling', 'Data engineering'];data engineer;{'city': 'Kraków', 'country': 'N/A'};{'low': 27300, 'high': 35700, 'currency': 'PLN'}
Senior Data Scientist;Sigma IT Poland;['Data', 'Python', 'Data science', 'Machine learning'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': 17600, 'high': 22400, 'currency': 'PLN'}
Data Engineer;ALLSTARSIT;['Data', 'Python', 'PySpark', 'SQL'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 7000, 'high': 7500, 'currency': 'USD'}
Lead Data Software Engineer (Python, Azure);EPAM Systems;['Data', 'Python', 'Azure Data Factory', 'Azure Databricks'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 24900, 'high': 29400, 'currency': 'PLN'}
Tech Lead Data Engineer with AWS;Nordcloud;['Data', 'SQL', 'Python', 'Airflow'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 28000, 'high': 30000, 'currency': 'PLN'}
Head of Data Engineering;STX Next;['Data', 'Data engineering', 'Data modeling', 'Data architecture'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Data Scientist (Credit) (mid/senior);Revolut Ltd;['Data', 'Python', 'SQL', 'Polish'];data scientist;{'city': 'Remote', 'country': 'N/A'};{'low': None, 'high': None, 'currency': None}
Mid Data Enigneer;Capco Poland;['Data', 'Spark', 'Python', 'Scala'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 21840, 'high': 25200, 'currency': 'PLN'}
Digital Advisor (Data&AI) - Dubai based;Elitmind;['Data', 'BI', 'Big data', 'Azure'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 22008, 'high': 27048, 'currency': 'PLN'}
SQL Developer;XTB;['Data', 'SQL', 'T-SQL', 'SSIS'];data analyst;{'city': 'Remote', 'country': 'N/A'};{'low': 10080, 'high': 17136, 'currency': 'PLN'}
Remote Lead Data Engineer;Kingfisher plc.;['Data', 'Python', 'Data modelling', 'Azure'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 25000, 'high': 29000, 'currency': 'PLN'}
