name;company;technology;job;location;salary
Data Engineer;Proxet;['Data', 'Data engineering', 'DWH', 'ETL'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 5000, 'high': 8500, 'currency': 'USD'}
MS SQL Developer;emagine Sp. Z o.o.;['Data', 'SQL', 'MSSQL', 'SSIS'];data analyst;{'city': 'Warsaw', 'country': 'N/A'};{'low': 21000, 'high': 23520, 'currency': 'PLN'}
Senior PL/SQL Developer;Ness Solution Sp. z o. o.;['Data', 'SQL', 'PL/SQL', 'Oracle'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': 21840, 'high': 27300, 'currency': 'PLN'}
Big Data Engineer;Reply Polska;['Data', 'Spark', 'K8s', 'Docker'];data engineer;{'city': 'Katowice', 'country': 'N/A'};{'low': 9000, 'high': 16000, 'currency': 'PLN'}
Data Engineer (Support team);Centrum Informatyki Statystycznej;['Data', 'Spark', 'SQL', 'Python'];data engineer;{'city': 'Warszawa', 'country': 'N/A'};{'low': 8000, 'high': 14000, 'currency': 'PLN'}
Data Engineer Hive Spark Scala;JSS Associates;['Data', 'Spark', 'Scala', 'Hadoop'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 21000, 'high': 25200, 'currency': 'PLN'}
Software Engineer (Machine Learning MLOps);Tesco Technology;['Data', 'Python', 'Machine learning', 'Splunk'];data engineer;{'city': 'Kraków', 'country': 'N/A'};{'low': 20000, 'high': 27000, 'currency': 'PLN'}
Data Engineer;Chorus One;['Data', 'AWS', 'Blockchain', 'SQL'];data engineer;{'city': 'Remote', 'country': 'N/A'};{'low': 5833, 'high': 8333, 'currency': 'USD'}
Specjalista ds. pracy z danymi;Polskie Technologie;['Data', 'Python', 'SQL', 'SQL Server'];data analyst;{'city': 'Warszawa', 'country': 'N/A'};{'low': 5000, 'high': 10000, 'currency': 'PLN'}
Azure Data Engineer;JSS Associates;['Data', 'Data engineering', 'ETL', 'Power BI'];data engineer;{'city': 'Poznań', 'country': 'N/A'};{'low': 29400, 'high': 42000, 'currency': 'PLN'}
